month,product_subgroup,production_type,region,price_value,unit_name
2025-05,Lait entier,Conventionnel,Suisse,1.5,Litre
2025-05,Lait entier,Bio,Suisse,1.89,Litre
2025-05,Beurre de choix,Bio,Suisse,22.85,kg
2025-05,Tomme,Conventionnel,Suisse,20.3,kg
2025-05,Fromage à raclette,Conventionnel,Suisse,22.3,kg
2025-05,"Yogourt, autres fruits",Conventionnel,Suisse,3.79,kg
2025-05,Lait drink,Bio,Suisse,1.89,Litre
2025-05,Demi-crème,Conventionnel,Suisse,5.28,Litre
2025-05,Emmentaler,Conventionnel,Suisse,16.62,kg
2025-05,Gruyère,Conventionnel,Suisse,22.13,kg
2025-05,Lait écrémé,Conventionnel,Suisse,1.59,Litre
2025-05,Gruyère,Conventionnel,Suisse,18.9,kg
2025-05,Appenzell,Conventionnel,Suisse,16.67,kg
2025-05,Crème entière,Conventionnel,Suisse,6.96,Litre
2025-05,Beurre à rôtir,Conventionnel,Suisse,24.57,kg
2025-05,Crème à café,Conventionnel,Suisse,4.03,Litre
2025-05,Vacherin fribourgeois,Conventionnel,Suisse,20.28,kg
2025-05,Tilsit,Conventionnel,Suisse,15.07,kg
2025-05,Tête de Moine,Conventionnel,Suisse,21.24,kg
2025-05,Lait drink,Conventionnel,Suisse,1.74,Litre
2025-05,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-05,Beurre de cuisine,Conventionnel,Suisse,15.83,kg
2025-05,Edamer CH,Conventionnel,Suisse,15.54,kg
2025-05,Tilsit,Conventionnel,Suisse,19.38,kg
2025-05,Crème entière,Bio,Suisse,14.48,Litre
2025-05,Appenzell,Conventionnel,Suisse,19.34,kg
2025-05,Brie CH 45%,Conventionnel,Suisse,20.31,kg
2025-05,Tilsit,Bio,Suisse,21.8,kg
2025-04,Lait drink,Bio,Suisse,1.89,Litre
2025-04,Fromage à raclette,Conventionnel,Suisse,22.3,kg
2025-04,Vacherin fribourgeois,Conventionnel,Suisse,20.27,kg
2025-04,Tilsit,Conventionnel,Suisse,14.41,kg
2025-04,Crème à café,Conventionnel,Suisse,3.85,Litre
